locus_tag	kegg_pathway_id	kegg_pathway	organism
spr0056	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0065	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0093	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0094	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0095	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0102	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0103	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0161	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0162	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0163	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0164	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0210	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0240	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0241	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0262	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0263	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0320	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0321	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0322	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0323	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0335	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0338	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0339	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0340	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0341	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0374	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0378	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0380	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0381	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0383	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0385	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0386	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0387	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0401	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0402	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0403	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0406	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0441	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0514	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0517	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0530	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0584	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0588	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0647	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0671	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0701	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0731	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0734	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0738	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0755	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0758	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0796	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0797	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0816	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0832	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0833	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0834	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0867	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0914	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0918	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0919	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0928	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0948	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1002	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1017	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1025	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1029	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1030	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1031	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1032	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1034	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1036	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1048	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1049	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1050	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1051	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1087	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1100	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
