locus_tag	kegg_pathway_id	kegg_pathway
SPy_0176	spy00053	Ascorbate and aldarate metabolism
SPy_0177	spy00053	Ascorbate and aldarate metabolism
SPy_0178	spy00053	Ascorbate and aldarate metabolism
SPy_0179	spy00053	Ascorbate and aldarate metabolism
SPy_0182	spy00053	Ascorbate and aldarate metabolism
SPy_0542	spy00053	Ascorbate and aldarate metabolism
SPy_1949	spy00053	Ascorbate and aldarate metabolism
SPy_1950	spy00053	Ascorbate and aldarate metabolism
SPy_1952	spy00053	Ascorbate and aldarate metabolism
SPy_2201	spy00053	Ascorbate and aldarate metabolism
SPy_0440	spy00061	Fatty acid biosynthesis
SPy_1743	spy00061	Fatty acid biosynthesis
SPy_1744	spy00061	Fatty acid biosynthesis
SPy_1745	spy00061	Fatty acid biosynthesis
SPy_1746	spy00061	Fatty acid biosynthesis
SPy_1747	spy00061	Fatty acid biosynthesis
SPy_1748	spy00061	Fatty acid biosynthesis
SPy_1749	spy00061	Fatty acid biosynthesis
SPy_1750	spy00061	Fatty acid biosynthesis
SPy_1751	spy00061	Fatty acid biosynthesis
SPy_1754	spy00061	Fatty acid biosynthesis
SPy_1758	spy00061	Fatty acid biosynthesis
SPy_0044	spy00071	Fatty acid degradation
SPy_0140	spy00071	Fatty acid degradation
SPy_0524	spy00071	Fatty acid degradation
SPy_1637	spy00071	Fatty acid degradation
SPy_0148	spy00190	Oxidative phosphorylation
SPy_0149	spy00190	Oxidative phosphorylation
SPy_0150	spy00190	Oxidative phosphorylation
SPy_0151	spy00190	Oxidative phosphorylation
SPy_0154	spy00190	Oxidative phosphorylation
SPy_0155	spy00190	Oxidative phosphorylation
SPy_0157	spy00190	Oxidative phosphorylation
SPy_0380	spy00190	Oxidative phosphorylation
SPy_0754	spy00190	Oxidative phosphorylation
SPy_0755	spy00190	Oxidative phosphorylation
SPy_0756	spy00190	Oxidative phosphorylation
SPy_0757	spy00190	Oxidative phosphorylation
SPy_0758	spy00190	Oxidative phosphorylation
SPy_0759	spy00190	Oxidative phosphorylation
SPy_0760	spy00190	Oxidative phosphorylation
SPy_0761	spy00190	Oxidative phosphorylation
SPy_0833	spy00220	Arginine biosynthesis
SPy_0835	spy00220	Arginine biosynthesis
SPy_1541	spy00220	Arginine biosynthesis
SPy_1544	spy00220	Arginine biosynthesis
SPy_1547	spy00220	Arginine biosynthesis
SPy_1779	spy00220	Arginine biosynthesis
SPy_1877	spy00220	Arginine biosynthesis
SPy_0020	spy00230	Purine metabolism
SPy_0024	spy00230	Purine metabolism
SPy_0025	spy00230	Purine metabolism
SPy_0026	spy00230	Purine metabolism
SPy_0027	spy00230	Purine metabolism
SPy_0028	spy00230	Purine metabolism
SPy_0032	spy00230	Purine metabolism
SPy_0033	spy00230	Purine metabolism
SPy_0034	spy00230	Purine metabolism
SPy_0036	spy00230	Purine metabolism
SPy_0074	spy00230	Purine metabolism
SPy_0160	spy00230	Purine metabolism
SPy_0362	spy00230	Purine metabolism
SPy_0425	spy00230	Purine metabolism
SPy_0427	spy00230	Purine metabolism
SPy_0444	spy00230	Purine metabolism
SPy_0872	spy00230	Purine metabolism
SPy_0890	spy00230	Purine metabolism
SPy_0892	spy00230	Purine metabolism
SPy_0894	spy00230	Purine metabolism
SPy_0927	spy00230	Purine metabolism
SPy_1123	spy00230	Purine metabolism
SPy_1125	spy00230	Purine metabolism
SPy_1135	spy00230	Purine metabolism
SPy_1136	spy00230	Purine metabolism
SPy_1204	spy00230	Purine metabolism
SPy_1224	spy00230	Purine metabolism
SPy_1375	spy00230	Purine metabolism
SPy_1378	spy00230	Purine metabolism
SPy_1541	spy00230	Purine metabolism
SPy_1632	spy00230	Purine metabolism
SPy_1981	spy00230	Purine metabolism
SPy_2110	spy00230	Purine metabolism
SPy_2206	spy00230	Purine metabolism
SPy_0235	spy00240	Pyrimidine metabolism
SPy_0392	spy00240	Pyrimidine metabolism
SPy_0399	spy00240	Pyrimidine metabolism
SPy_0425	spy00240	Pyrimidine metabolism
SPy_0427	spy00240	Pyrimidine metabolism
SPy_0462	spy00240	Pyrimidine metabolism
SPy_0803	spy00240	Pyrimidine metabolism
SPy_0830	spy00240	Pyrimidine metabolism
SPy_0832	spy00240	Pyrimidine metabolism
SPy_0833	spy00240	Pyrimidine metabolism
SPy_0835	spy00240	Pyrimidine metabolism
SPy_0872	spy00240	Pyrimidine metabolism
SPy_0882	spy00240	Pyrimidine metabolism
SPy_0900	spy00240	Pyrimidine metabolism
SPy_0901	spy00240	Pyrimidine metabolism
SPy_0907	spy00240	Pyrimidine metabolism
SPy_1066	spy00240	Pyrimidine metabolism
